language,books,chapter,url
mal,mat,14,https://youtu.be/5Y7LoB8WVQ0
mal,mat,15,https://youtu.be/muLbvmAxchU
mal,mat,16,https://youtu.be/OfETTB8xUFE
mal,mat,17,https://youtu.be/tJ5jlcJ2CIk
mal,mat,18,https://youtu.be/jNcL8fRBJ9A
mal,mat,19,https://youtu.be/3_4TOAUrz-s
mal,mat,20,https://youtu.be/AVGKQo5ivEI
mal,mat,21,https://youtu.be/ElVcSLXUPbc
mal,mat,22,https://youtu.be/sy0lrjQOIdE
mal,mat,23,https://youtu.be/O4UIR2RadwE
mal,mat,24,https://youtu.be/OooF4Sbb5LM
mal,mat,25,https://youtu.be/gd2VtVMD3Zo
mal,mat,26,https://youtu.be/OywwD-cGs1Y
mal,mat,26,https://youtu.be/1eo38Jm0s4s
mal,mat,27,https://youtu.be/2v-Lzq4eNSY
mal,mat,27,https://youtu.be/rNCptiwD8xQ
mal,mat,28,https://youtu.be/NzBeAmK_riU
mal,mrk,1,https://youtu.be/KJbBUtDe7lI
mal,mrk,2,https://youtu.be/shS8s9lbHAo
mal,mrk,3,https://youtu.be/EzkF2Vx1_aA
mal,mrk,4,https://youtu.be/nlbhrD-EyqY
mal,mrk,5,https://youtu.be/C9YSC_OSDpw
mal,mrk,6,https://youtu.be/-ZdB1a9izOw
mal,mrk,7,https://youtu.be/kWbMS8JeoOw
mal,mrk,8,https://youtu.be/UYKffMONqyM
mal,mrk,9,https://youtu.be/SZtOOJUQCno
mal,mrk,10,https://youtu.be/917GBo4Rvqs
mal,mrk,11,https://youtu.be/chDYYysgI24
mal,mrk,12,https://youtu.be/023sJp_0CQU
mal,mrk,13,https://youtu.be/34FQoBBe5bo
mal,mrk,14,https://youtu.be/GK8u5MEptyE
mal,mrk,14,https://youtu.be/mVZtCLf7h0w
mal,mrk,15,https://youtu.be/_V2La6Immns
mal,mrk,16,https://youtu.be/0DRYG_9h01w
mal,luk,1,https://youtu.be/YtKyUG2HZB8
mal,luk,1,https://youtu.be/IpZTbDGfoJM
mal,luk,2,https://youtu.be/UrkOHAqOQE8
mal,luk,3,https://youtu.be/8iR5tSriWSg
mal,luk,4,https://youtu.be/wjiyRDBD6m0
mal,luk,5,https://youtu.be/fJYXj-4Euyo
mal,luk,6,https://youtu.be/li1-52hF5lw
mal,luk,7,https://youtu.be/prMc5NhpWwM
mal,luk,8,https://youtu.be/D9LnKSdXnPQ
mal,luk,8,https://youtu.be/DX6vhEeVgJs
mal,luk,9,https://youtu.be/kFSDE5V7NMk
mal,luk,9,https://youtu.be/XxKEppumRno
mal,luk,10,https://youtu.be/oovZALr6gTA
mal,luk,11,https://youtu.be/jLPk9ZChWGI
mal,luk,12,https://youtu.be/PQmzdE4PKd8
mal,luk,13,https://youtu.be/ioPXpWprXZ8
mal,luk,14,https://youtu.be/Rt5jdFPW3Ag
mal,luk,15,https://youtu.be/xLiJC7aECkE
mal,luk,16,https://youtu.be/DfX1Ws9MmFU
mal,luk,17,https://youtu.be/KwEiNJJUT2I
mal,luk,18,https://youtu.be/NyZ5mysUvj8
mal,luk,19,https://youtu.be/AyYlLW8lqiA
mal,luk,20,https://youtu.be/gfMjbYLlwww
mal,luk,21,https://youtu.be/OzphMg1yWf4
mal,luk,22,https://youtu.be/5jilycITs5s
mal,luk,22,https://youtu.be/c6LSVQnbG-c
mal,luk,23,https://youtu.be/IrxCtNV575Q
mal,luk,23,https://youtu.be/5vXs645HAAM
mal,luk,24,https://youtu.be/XgRi5wxtfkA
mal,jhn,1,https://youtu.be/1juvZHeOIOo
mal,jhn,2,https://youtu.be/LBvO5Uh-2rI
mal,jhn,3,https://youtu.be/DkwaMKrr_h8
mal,jhn,4,https://youtu.be/hI9oz8XQGdc
mal,jhn,5,https://youtu.be/QqUGLJ1KZtw
mal,jhn,6,https://youtu.be/yo2Slw-qR1I
mal,jhn,6,https://youtu.be/Id3Guvb6BwY
mal,jhn,7,https://youtu.be/zYk39Uv2qqk
mal,jhn,8,https://youtu.be/3_DS-Z5tYRY
mal,jhn,8,https://youtu.be/D7qDY7pEtNE
mal,jhn,9,https://youtu.be/QCbxgnqi458
mal,jhn,10,https://youtu.be/SIT-nYrkFOM
mal,jhn,11,https://youtu.be/yH66UbQnQAs
mal,jhn,12,https://youtu.be/yVI6pdUbb-Y
