book,chapter,title,description,url
luk,2,Luke 2,"00:15 Mary gave birth to the saviour, 03:08 Angels tell shepherds about Jesus’ birth and the shepherds visit him, 07:12 Joseph and Mary present Jesus in the temple, 08:29 Simeon saw Jesus and prophesied about him, 12:34 Anna thanked God for Jesus and told others about him, 15:18 The boy Jesus at the temple",https://youtu.be/lzXuGooJ0cQ
luk,3,Luke 3,"00:14 John the Baptist prepares the way for Lord Jesus, 09:34 Jesus is Baptized by John the Baptist, 10:29 The family history of Jesus",https://youtu.be/Paqq_AdiNTE
luk,4,Luke 4,"00:14 Jesus is tempted by the Devil, 04:20 Jesus begins His work in Galilee and rejected at Nazareth, 10:48 Jesus frees a man from an evil spirit, 12:44 Jesus heals Peter’s mother-in-law, 13:45 Jesus heals many others and goes to other towns",https://youtu.be/1P_zzMIvh7M
luk,5,Luke 5,"00:14 Jesus calls His first disciples, 00:50 Jesus heals a Man With Leprosy, 07:07 Jesus forgives and heals a paralyzed man, 12:12 Jesus Calls Levi (Matthew), 14:19 Jesus Questioned About Fasting",https://youtu.be/ypNKg-Ez-u4
luk,6,Luke 6,"00:15 Jesus is Lord of the Sabbath day, 04:20 Jesus choses His twelve Apostles, 07:00 Jesus heals a great multitude, 08:33 Jesus teaches people how to be His disciple?",https://youtu.be/1mhoqRQceW4
luk,7,Luke 7,"00:14 Jesus heals an army officer’s servant, 04:02 Jesus brings a woman’s son back to life, 06:24 John the Baptist sent two followers to ask Jesus a question, 14:02 A woman honors Jesus in a pharisee’s house",https://youtu.be/OJRBWv58jjA
luk,8,Luke 8,"00:13 The parable of a sower, 06:13 A lamp on a stand, 07:32 Jesus’ mother and brothers, 08:22 Jesus calms the storm, 10:11 Jesus frees a man from evil spirits, 15:29 Jesus raises a dead girl and heals a sick woman",https://youtu.be/hWgMS2E9Fdw
luk,9,Luke 9,"00:14 Jesus sent his twelve apostles to preach and heal people, 02:25 King Herod is confused about Jesus, 03:34 Jesus did a miracle to feed more than five thousand people, 06:42 Peter declared that Jesus is the Christ, 07:50 Jesus Predicts His Death, 10:30 Three disciples see Jesus’ glory, 13:29 Jesus expels an evil spirit from a boy, 15:55 Jesus talks about His death a second time, 16:49 Jesus tells his disciples that they must be humble, 17:40 Jesus tells whoever is not against Him is with Him, 18:27 The people of a Samaritan village refused to receive Jesus, 20:23 Following Jesus",https://youtu.be/F4kVyhIbOao
luk,10,Luke 10,"00:12 Jesus sent out seventy disciples, 10:51 The Parable of the Good Samaritan, 14:56 Jesus visits Martha and Mary at their home",https://youtu.be/qTeRkXOGmME
luk,11,Luke 11,"00:14 Jesus taught His disciple about prayer, 04:26 Who gave power to Jesus?, 07:59 Jesus warned that an evil spirit may possess someone again, 09:13 Jesus taught about how to be truly happy, 09:59 Some people doubt Jesus’ authority, 13:36 Jesus taught about light and darkness, 14:51 Jesus criticized the Pharisees and the teachers of the law",https://youtu.be/0d-7YVVC2Yc
luk,12,Luke 12,"00:14 Jesus warned & encouraged His disciples, 04:36 Jesus warns the people not to be greedy, 07:29 Jesus encouraged his disciples to trust God to care for them, 12:17 Jesus’ servants should be watchful and faithful, 16:45 Jesus’ message will cause divisions among people, 18:28 Jesus told the people to prepare for what was about to happen",https://youtu.be/IHq5supTIvk
luk,13,Luke 13,"00:14 Call to repent, 02:16 The parable about a fig tree that did not bear fruit, 03:45 Jesus healed a crippled woman on the Sabbath Day, 06:14 Jesus compares the kingdom of God to a mustard seed and to yeast, 07:79 The entrance to the kingdom of God is like a narrow door, 11:14 Jesus grieved for the people in Jerusalem",https://youtu.be/N-MU3htWGcQ
luk,14,Luke 14,"00:12 Jesus healed a sick man on the Sabbath, 01:43 Jesus teaches about humility, 04:33 Jesus told a parable about a great feast, 07:33 A disciple of Jesus must be ready to suffer for Him",https://youtu.be/GdOPXW6Jvns
luk,15,Luke 15,"00:12 Parable of the lost sheep, 02:17 Parable of the lost coin, 03:17 Parable of the lost son",https://youtu.be/3hpt8MHjmjA
luk,16,Luke 16,"00:12 Parable of the Shrewd Manager, 05:24 God’s Law Cannot Be Changed, 07:28 Parable of the rich man and Lazarus",https://youtu.be/VeOhfoGC0c8
luk,17,Luke 17,"00:13 Jesus taught his disciples about sin, faith, and duty, 04:06 Jesus healed ten lepers, 06:36 The coming of the Kingdom of God",https://youtu.be/AzKG0XxxLe0
luk,18,Luke 18,"00:12 The parable of the persistent widow , 02:44 The parable of the Pharisee and Tax collector, 04:58 Jesus welcomes children, 06:13 It is hard for rich people to enter God’s kingdom, 10:01 Jesus talks again about His death, 11:28 Jesus gives sight to a blind man",https://youtu.be/aGQ_vVhmL8Y
luk,19,Luke 19,"00:12 Jesus at Zacchaeus, the tax collector’s house, 03:17 Jesus told a parable about a king and his ten servants, 09:26 Jesus enters Jerusalem like a King, 14:33 Jesus expelled sellers from the temple courtyard",https://youtu.be/M8dpENyiILc
luk,20,Luke 20,"00:12 Jewish leaders questioned Jesus’ authority, 02:38 Jesus told a parable about some evil farmers, 07:31 Jewish leaders tried to trap Jesus with a question about taxes, 09:39 Some Sadducees try to trick Jesus, 13:28 Whose son is the Messiah, 14:25 Jesus warned His disciples about the teachers of the Law",https://youtu.be/4j9ukHpcLdk
luk,21,Luke 21,"00:13 The widow’s offering, 01:29 The destruction of the temple in Jerusalem and signs of the end time, 09:18 Jesus' words will last forever, 10:40 Jesus warns His disciples to be ready all the time",https://youtu.be/FBTizAavC2s
luk,22,Luke 22,"00:14 Judas told the Jewish leaders that he would betray Jesus to them, 01:56 Jesus sent two disciples to prepare for the Passover celebration, 03:48 The Lord’s supper, 06:54 Jesus taught his apostles about greatness, 09:27 Jesus predicted that Peter would deny him, 10:38 Jesus tells His disciples to be ready for trouble, 12:25 Jesus prays alone in a garden called Gethsemane, 14:31 Judas helped Jesus’ enemies to find him and arrest him, 16:43 Peter denies Jesus, 18:55 The guards mistreated Jesus, 19:40 Jewish leaders question Jesus",https://youtu.be/AOea26-rYTk
luk,23,Luke 23,"00:14 Governor Pilate questions Jesus, 02:05 Pilate sends Jesus to King Herod, 04:15 Jesus was sentenced to death, 07:42 Soldiers nailed Jesus to a cross, 14:27 The death of Jesus, 16:23 Jesus is buried in tomb",https://youtu.be/TbS6rQGLSr4
luk,24,Luke 24,"00:14 Jesus has risen from the death, 03:16 Jesus came to two disciples on the road to Emmaus, 09:51 Jesus appeared to his followers, 11:28 You are my witness, 13:35 Jesus goes back to Heaven",https://youtu.be/GSRodcsUNH8
mrk,1,Mark 1,"Mark 1:1-8 John Prepares the Way for Jesus, Mark 1:9-11 Jesus Is Baptized by John, Mark 1:12-13 Jesus Goes Away to be Tempted by Satan, Mark 1:14-15 Jesus Begins His Work in Galilee, Mark 1:16-20 Jesus Chooses Some Followers, Mark 1:21-28 Jesus Frees a Man From an Evil Spirit, Mark 1:29-34 Jesus Heals Many People, Mark 1:35-39 Jesus Goes to Other Towns, Mark 1:40-45 Jesus Heals a Skin Diseased Person",https://youtu.be/hKMa6QhhIrU
mrk,2,Mark 2,"Mark 2:1-12 Jesus Heals a Paralysed Man, Mark 2:13-17 Levi Follows Jesus, Mark 2:14-22 A Question About Fasting, Mark 2:23-28 Jesus Is Lord Over the Sabbath Day",https://youtu.be/MkF0sCvUkhM
mrk,3,Mark 3,"Mark 3:1-6 Jesus Heals a Man on the Sabbath Day, Mark 3:7-12 Many Follow Jesus, Mark 3:13-19 Jesus Chooses His Twelve Apostles, Mark 3:20-30 Who Gave the Power to Jesus?, Mark 3:31-35 Jesus' Mother, Brothers and Sisters Come to See Jesus",https://youtu.be/9pwGvN4kwiA
