name,url,books,format
Haryanvi Audio Bible,https://media.vachanengine.org/audio_bibles/har/hb/,"{""1co"": 16, ""1jn"": 5, ""1pe"": 5, ""1th"": 5, ""1ti"": 6, ""2co"": 13, ""2jn"": 1, ""2pe"": 3, ""2th"": 3, ""2ti"": 4, ""3jn"": 1, ""act"": 28, ""col"": 4, ""eph"": 6, ""gal"": 6, ""heb"": 13, ""jas"": 5, ""jhn"": 21, ""jud"": 1, ""luk"": 24, ""mat"": 28, ""mrk"": 16, ""phm"": 1, ""php"": 4, ""rev"": 22, ""rom"": 16, ""tit"": 3}",mp3
Punjabi IRV Audio Bible,https://media.vachanengine.org/audio_bibles/pan/irv/,"{""1ch"": 29, ""1co"": 16, ""1jn"": 5, ""1ki"": 22, ""1pe"": 5, ""1sa"": 31, ""1th"": 5, ""1ti"": 6, ""2ch"": 36, ""2co"": 13, ""2jn"": 1, ""2ki"": 25, ""2pe"": 3, ""2sa"": 24, ""2th"": 3, ""2ti"": 4, ""3jn"": 1, ""act"": 28, ""amo"": 9, ""col"": 4, ""dan"": 12, ""deu"": 34, ""ecc"": 12, ""eph"": 6, ""est"": 10, ""exo"": 40, ""ezk"": 48, ""ezr"": 10, ""gal"": 6, ""gen"": 50, ""hab"": 3, ""hag"": 2, ""heb"": 13, ""hos"": 14, ""isa"": 66, ""jas"": 5, ""jdg"": 21, ""jer"": 52, ""jhn"": 21, ""job"": 42, ""jol"": 3, ""jon"": 4, ""jos"": 24, ""jud"": 1, ""lam"": 5, ""lev"": 27, ""luk"": 24, ""mal"": 4, ""mat"": 28, ""mic"": 7, ""mrk"": 16, ""nam"": 3, ""neh"": 13, ""num"": 36, ""oba"": 1, ""phm"": 1, ""php"": 4, ""pro"": 31, ""psa"": 150, ""rev"": 22, ""rom"": 16, ""rut"": 4, ""sng"": 8, ""tit"": 3, ""zec"": 14, ""zep"": 3}",mp3
Hindi IRV Audio Bible,https://media.vachanengine.org/audio_bibles/hin/irv/,"{""1ch"": 29, ""1co"": 16, ""1jn"": 5, ""1ki"": 22, ""1pe"": 5, ""1sa"": 31, ""1th"": 5, ""1ti"": 6, ""2ch"": 36, ""2co"": 13, ""2jn"": 1, ""2ki"": 25, ""2pe"": 3, ""2sa"": 24, ""2th"": 3, ""2ti"": 4, ""3jn"": 1, ""act"": 28, ""amo"": 9, ""col"": 4, ""dan"": 12, ""deu"": 34, ""ecc"": 12, ""eph"": 6, ""est"": 10, ""exo"": 40, ""ezk"": 48, ""ezr"": 10, ""gal"": 6, ""gen"": 50, ""hab"": 3, ""hag"": 2, ""heb"": 13, ""hos"": 14, ""isa"": 66, ""jas"": 5, ""jdg"": 21, ""jer"": 52, ""jhn"": 21, ""job"": 42, ""jol"": 3, ""jon"": 4, ""jos"": 24, ""jud"": 1, ""lam"": 5, ""lev"": 27, ""luk"": 24, ""mal"": 4, ""mat"": 28, ""mic"": 7, ""mrk"": 16, ""nam"": 3, ""neh"": 13, ""num"": 36, ""oba"": 1, ""phm"": 1, ""php"": 4, ""pro"": 31, ""psa"": 150, ""rev"": 22, ""rom"": 16, ""rut"": 4, ""sng"": 8, ""tit"": 3, ""zec"": 14, ""zep"": 3}",mp3
Bilaspuri Audio Bible,https://media.vachanengine.org/audio_bibles/kfs/irv/,"{""1co"": 16, ""1jn"": 5, ""1pe"": 5, ""1th"": 5, ""1ti"": 6, ""2co"": 13, ""2jn"": 1, ""2pe"": 3, ""2th"": 3, ""2ti"": 4, ""3jn"": 1, ""act"": 28, ""col"": 4, ""eph"": 6, ""gal"": 6, ""heb"": 13, ""jas"": 5, ""jhn"": 21, ""jud"": 1, ""luk"": 24, ""mat"": 28, ""mrk"": 16, ""phm"": 1, ""php"": 4, ""rev"": 22, ""rom"": 16, ""tit"": 3}",mp3
Dogri Audio Bible,https://media.vachanengine.org/audio_bibles/dgo/dsv/,"{""1co"": 16, ""1jn"": 5, ""1pe"": 5, ""1th"": 5, ""1ti"": 6, ""2co"": 13, ""2jn"": 1, ""2pe"": 3, ""2th"": 3, ""2ti"": 4, ""3jn"": 1, ""act"": 28, ""col"": 4, ""eph"": 6, ""gal"": 6, ""heb"": 13, ""jas"": 5, ""jhn"": 21, ""jud"": 1, ""luk"": 24, ""mat"": 28, ""mrk"": 16, ""phm"": 1, ""php"": 4, ""rev"": 22, ""rom"": 16, ""tit"": 3}",mp3
Odia IRV Audio Bible,https://media.vachanengine.org/audio_bibles/ory/irv/,"{""1ch"": 29, ""1co"": 16, ""1jn"": 5, ""1ki"": 22, ""1pe"": 5, ""1sa"": 31, ""1th"": 5, ""1ti"": 6, ""2ch"": 36, ""2co"": 13, ""2jn"": 1, ""2ki"": 25, ""2pe"": 3, ""2sa"": 24, ""2th"": 3, ""2ti"": 4, ""3jn"": 1, ""act"": 28, ""amo"": 9, ""col"": 4, ""dan"": 12, ""deu"": 34, ""ecc"": 12, ""eph"": 6, ""est"": 10, ""exo"": 40, ""ezk"": 48, ""ezr"": 10, ""gal"": 6, ""gen"": 50, ""hab"": 3, ""hag"": 2, ""heb"": 13, ""hos"": 14, ""isa"": 66, ""jas"": 5, ""jdg"": 21, ""jer"": 52, ""jhn"": 21, ""job"": 42, ""jol"": 3, ""jon"": 4, ""jos"": 24, ""jud"": 1, ""lam"": 5, ""lev"": 27, ""luk"": 24, ""mal"": 4, ""mat"": 28, ""mic"": 7, ""mrk"": 16, ""nam"": 3, ""neh"": 13, ""num"": 36, ""oba"": 1, ""phm"": 1, ""php"": 4, ""pro"": 31, ""psa"": 150, ""rev"": 22, ""rom"": 16, ""rut"": 4, ""sng"": 8, ""tit"": 3, ""zec"": 14, ""zep"": 3}",mp3
English ESV Audio Bible,https://media.vachanengine.org/audio_bibles/eng/esv/,"{""1ch"": 29, ""1co"": 16, ""1jn"": 5, ""1ki"": 22, ""1pe"": 5, ""1sa"": 31, ""1th"": 5, ""1ti"": 6, ""2ch"": 36, ""2co"": 13, ""2jn"": 1, ""2ki"": 25, ""2pe"": 3, ""2sa"": 24, ""2th"": 3, ""2ti"": 4, ""3jn"": 1, ""act"": 28, ""amo"": 9, ""col"": 4, ""dan"": 12, ""deu"": 34, ""ecc"": 12, ""eph"": 6, ""est"": 10, ""exo"": 40, ""ezk"": 48, ""ezr"": 10, ""gal"": 6, ""gen"": 50, ""hab"": 3, ""hag"": 2, ""heb"": 13, ""hos"": 14, ""isa"": 66, ""jas"": 5, ""jdg"": 21, ""jer"": 52, ""jhn"": 21, ""job"": 42, ""jol"": 3, ""jon"": 4, ""jos"": 24, ""jud"": 1, ""lam"": 5, ""lev"": 27, ""luk"": 24, ""mal"": 4, ""mat"": 28, ""mic"": 7, ""mrk"": 16, ""nam"": 3, ""neh"": 13, ""num"": 36, ""oba"": 1, ""phm"": 1, ""php"": 4, ""pro"": 31, ""psa"": 150, ""rev"": 22, ""rom"": 16, ""rut"": 4, ""sng"": 8, ""tit"": 3, ""zec"": 14, ""zep"": 3}",mp3
